标题,区域,地段,小区,空间,面积,朝向,装修,楼层,建成时间,构筑物,单价每平,总价,关注,距今发布日期
保利香雪 明厨明卫 住家装修两房 中间楼层朝中庭,江北,南桥寺,保利香雪,2室1厅,77.87平米,东南,简装,32层,2011年建,塔楼,"16,567元/平",129,14人关注,1个月以前发布
北滨路精装修，户型好，朝南看江！,江北,北滨路,融景城澜岸,4室2厅,142.68平米,南,精装,46层,2013年建,板塔结合,"18,223元/平",260,121人关注,3个月以前发布
房子位置处成熟商圈，交通方便，配套较齐全,江北,花卉园,富悦阳光,1室1厅,44.05平米,东,精装,低楼层(共32层),2007年建,塔楼,"13,576元/平",59.8,132人关注,8个月以前发布
户型方正，交通便利，次新小区，朝南看江,江北,五里店,融景城臻苑,4室2厅,113.77平米,南,毛坯,中楼层(共40层),2019年建,塔楼,"22,854元/平",260,37人关注,5个月以前发布
清水三房，随意装修，诚心出售，带车位出售,江北,海尔路,北大资源·江山名门B区,3室2厅,95.53平米,东南,毛坯,33层,2016年建,塔楼,"12,562元/平",120,64人关注,一年前发布
地处观音桥商圈，小区闹中取静，环境绿化好。,江北,观音桥,耐德佳苑,2室2厅,85.81平米,东南,精装,中楼层(共34层),2005年建,板塔结合,"14,101元/平",121,12人关注,6个月以前发布
江北观音桥商圈 新村 带20平的露台 出行方便 近轻轨,江北,观音桥,梦幻21公寓,3室2厅,135.86平米,东南,简装,高楼层(共21层),2002年建,塔楼,"10,747元/平",146,32人关注,3个月以前发布
临商圈，近轻轨，出行便利，配套成熟，龙湖智慧服务,江北,观音桥,半山华府,3室2厅,122.65平米,南,精装,30层,2012年建,板楼,"15,084元/平",185,17人关注,2个月以前发布
户型紧凑小两房，视野开阔，背靠公园,江北,龙头寺,瑞同优米,2室1厅,51.23平米,南,精装,中楼层(共34层),2017年建,塔楼,"16,788元/平",86,19人关注,1个月以前发布
花卉园精装轻轨一房，户型方正采光好居家生活方便，,江北,花卉园,富悦阳光,1室1厅,44.05平米,东南,精装,高楼层(共32层),2007年建,塔楼,"12,850元/平",56.6,40人关注,4个月以前发布
190°一线江景无遮挡 舒适大卧室 全落地窗 精装三房,江北,大石坝,东方港湾,3室2厅,166.99平米,南,精装,高楼层(共18层),2007年建,塔楼,"10,049元/平",167.8,23人关注,2个月以前发布
观音桥商圈儿童公园旁 精装证在手拎包入住,江北,鸿恩寺,新城绿洲,2室2厅,95.33平米,东,精装,高楼层(共29层),2006年建,塔楼,"12,693元/平",121,20人关注,一年前发布
新小区 全新基础装修三房 未住过人,江北,石马河,凤凰湾天悦,3室2厅,85.8平米,南,简装,高楼层(共18层),2018年建,塔楼,"17,483元/平",150,30人关注,1个月以前发布
高档社区景观好房，一克拉钻石品质，机会只有一次,江北,北滨路,财信北岸江山东区,3室1厅,80.35平米,西南,精装,高楼层(共33层),2015年建,塔楼,"18,669元/平",150,34人关注,7个月以前发布
江北区观音桥北城天街九街旁商圈北滨路低首付低总价,江北,观音桥,城市经典,2室1厅,66.98平米,南,精装,中楼层(共34层),2012年建,板塔结合,"13,288元/平",89,63人关注,4个月以前发布
LOFT公寓，水电气三通，民水民电，门口森林公园,江北,鸿恩寺,保利江上明珠锦园,3室1厅,56.19平米,南,精装,13层,2015年建,塔楼,"13,882元/平",78,160人关注,4个月以前发布
江北嘴万科端户四室大平层 电梯入户 朝中庭 视野好,江北,江北嘴,万科御澜道,4室1厅,166.57平米,西北,毛坯,中楼层(共45层),2016年建,板塔结合,"19,512元/平",325,42人关注,2个月以前发布
紫御江山精品优质三房，清水价格得精装三房,江北,江北嘴,中海紫御江山熙岸,3室1厅,118.02平米,东,精装,低楼层(共49层),2016年建,塔楼,"23,302元/平",275,68人关注,8个月以前发布
精装两房 北滨路双轻轨  诚心出售,江北,五里店,融景城朗峰,3室1厅,80.47平米,南,精装,中楼层(共33层),2018年建,塔楼,"24,357元/平",196,15人关注,1个月以前发布
鲁能星城十街区 3室2厅 南,江北,龙头寺,鲁能星城十街区,3室2厅,115.7平米,南,精装,高楼层(共32层),2009年建,塔楼,"14,348元/平",166,36人关注,2个月以前发布
紫御江山四期精装看江三房两卫，朝东看江业主诚心出售,江北,江北嘴,中海紫御江山天誉,3室1厅,100平米,东,精装,中楼层(共47层),2018年建,塔楼,"29,900元/平",299,19人关注,1个月以前发布
龙头寺 清水三房 业主诚心出售 满五年 视野开阔,江北,龙头寺,庆业九寨印象,3室2厅,124平米,南,毛坯,高楼层(共34层),2013年建,塔楼,"13,871元/平",172,22人关注,31天以前发布
实得八十多精装跃层 三房带衣帽间  出门即地铁,江北,海尔路,保利观澜,3室2厅,71.85平米,东北,精装,32层,2016年建,塔楼,"24,496元/平",176,55人关注,3个月以前发布
龙头寺公园旁  业主诚心出售 清水三房，可拎包入住,江北,龙头寺,庆业九寨印象,3室2厅,104.74平米,北,毛坯,低楼层(共34层),2014年建,塔楼,"14,513元/平",152,41人关注,3个月以前发布
兄弟装饰 16万装修 3室  带地暖 安全纱窗 价格诱惑,江北,江北嘴,新鸥鹏教育城二期,3室1厅,76.14平米,西南,精装,低楼层(共32层),2018年建,塔楼,"25,191元/平",191.8,24人关注,1个月以前发布
巨龙三期小三室出售，业主诚心出售！,江北,鱼嘴,巨龙江山国际三期,3室2厅,83.32平米,南,毛坯,中楼层(共17层),,暂无数据,"9,242元/平",77,4人关注,18天以前发布
首创住家装修，近轻轨商圈，生活出行便利,江北,大石坝,首创鸿恩中心,1室0厅,44.85平米,东南,精装,中楼层(共43层),2015年建,塔楼,"13,601元/平",61,8人关注,21天以前发布
精装修看中庭，住家安静，小区环境好，楼龄新，带车位,江北,江北嘴,中海紫御江山熙岸,3室1厅,119.19平米,东,精装,低楼层(共49层),2016年建,塔楼,"22,486元/平",268,15人关注,1个月以前发布
急售！使用面积300㎡，带100㎡花园，可拎包入住,江北,石子山,两江春城春铭苑,3室2厅,127.75平米,南,精装,低楼层(共11层),2016年建,板楼,"29,355元/平",375,33人关注,9个月以前发布
洋房板式结构 精装修 拎包入住业主诚心出售,江北,五里店,长安丽都,3室1厅,132.25平米,西南,精装,低楼层(共11层),2008年建,塔楼,"17,241元/平",228,15人关注,3个月以前发布
鲤鱼池轻轨站 住家装修五房朝中庭 生活配套齐,江北,五里店,长安景苑,5室2厅,182.2平米,东南 南,精装,高楼层(共11层),2015年建,板塔结合,"10,429元/平",190,183人关注,一年前发布
业主诚心出售产权证在手带70-80的大花园配置在建电梯,江北,南桥寺,阳光家园,4室1厅,196.32平米,东,简装,高楼层(共16层),,塔楼,"7,285元/平",143,19人关注,2个月以前发布
五里店低单价三房，户型方正，交通便利，生活配套齐全,江北,五里店,工商局综合楼,3室2厅,157.85平米,东南,简装,高楼层(共26层),2006年建,塔楼,"7,729元/平",122,64人关注,一年前发布
凤凰湾驭府大平层，2T2户，纯板式结构，拎包入住,江北,石马河,凤凰湾驭府,5室2厅,182.28平米,东北,精装,高楼层(共11层),2013年建,板楼,"13,606元/平",248,7人关注,1个月以前发布
双轻轨装修4房朝中通 版式户型 2房价格买4房,江北,海尔路,金科廊桥水岸(江北),4室1厅,88.22平米,东南,其他,低楼层(共10层),2008年建,板塔结合,"17,003元/平",150,9人关注,31天以前发布
业主诚心出售，房子装修好带70-80的大花园配置有电梯,江北,南桥寺,阳光家园,4室1厅,198平米,南,精装,高楼层(共16层),,塔楼,"9,849元/平",195,8人关注,17天以前发布
近光电园 户型方正 精装两房 通风、采光俱佳。,江北,石马河,金科十年城北区,2室2厅,77.67平米,东,精装,中楼层(共33层),2013年建,板塔结合,"17,124元/平",133,13人关注,25天以前发布
正规两房，户型方正 ，交通便利,江北,观音桥,金地花园,2室1厅,84.88平米,南,精装,低楼层(共29层),2009年建,塔楼,"12,960元/平",110,3人关注,19天以前发布
金科三房，朝南，采光充足，拎包入住，家具家电齐全,江北,石马河,金科十年城东区,3室2厅,96.22平米,南,简装,高楼层(共29层),2008年建,板塔结合,"14,550元/平",140,17人关注,29天以前发布
中间楼层正朝南采光好，户型方正，业主诚心卖！,江北,北滨路,锦绣北滨,3室2厅,94.9平米,西南,精装,中楼层(共32层),2008年建,塔楼,"13,172元/平",125,3人关注,26天以前发布
观音桥步行街 住宅端户正规两房随时可看,江北,观音桥,旭阳朗晴广场,2室1厅,83.46平米,东南,精装,中楼层(共45层),2009年建,塔楼,"10,305元/平",86,58人关注,4个月以前发布
单价便宜，朱家装修，业主诚心出售,江北,观音桥,城市经典,2室1厅,61.96平米,东 南,精装,高楼层(共34层),2010年建,板塔结合,"15,172元/平",94,18人关注,1个月以前发布
鸿恩怡园 2室1厅 南,江北,鸿恩寺,鸿恩怡园,2室1厅,77.01平米,南,其他,中楼层(共6层),2009年建,板楼,"7,792元/平",60,19人关注,1个月以前发布
江北嘴 星耀天地   精装修 品质居住  视野好,江北,江北嘴,阳光城天澜道11号,2室1厅,71.18平米,东南,精装,31层,2015年建,塔楼,"16,578元/平",118,332人关注,一年前发布
急售 江北区 观音桥 北滨路旁 正规2房 城市印象,江北,观音桥,城市印象,2室1厅,51.55平米,南,简装,低楼层(共24层),2007年建,塔楼,"15,325元/平",79,21人关注,3个月以前发布
房子精装修，位置安静，户型方正，通风采光好。,江北,石马河,金科十年城北区,3室1厅,112.38平米,西,精装,中楼层(共34层),2013年建,板塔结合,"15,573元/平",175,12人关注,5个月以前发布
观音桥商圈房，正规2房诚心出售,江北,观音桥,瑜然星座,2室2厅,65.93平米,南,精装,低楼层(共33层),2008年建,塔楼,"11,983元/平",79,70人关注,4个月以前发布
精装三房双卫，楼层好，视野开阔无遮挡,江北,海尔路,北大资源海樾府C区,3室2厅,100.34平米,西南,精装,高楼层(共33层),,塔楼,"14,152元/平",142,5人关注,10个月以前发布
绿地品质开发商 正规三房，业主诚心出售,江北,大石坝,绿地新都会,3室1厅,77.6平米,南,简装,低楼层(共31层),2012年建,塔楼,"14,176元/平",110,3人关注,15天以前发布
近商圈 近轻轨 正规三房 楼龄新,江北,鸿恩寺,财信北岸江山北区,3室1厅,97.44平米,西北,精装,中楼层(共33层),2018年建,板塔结合,"17,242元/平",168,19人关注,2个月以前发布
看中庭三房 视野开阔 户型方正,江北,五里店,融景城臻苑,3室2厅,99.4平米,北,毛坯,高楼层(共31层),,塔楼,"23,139元/平",230,22人关注,7个月以前发布
新上业主自己住家精装两房 金地花园 拎包入住，急售,江北,观音桥,金地花园,2室1厅,84.3平米,南,精装,中楼层(共29层),2007年建,板楼,"13,286元/平",112,12人关注,6个月以前发布
东海岸 精装大三室   朝中庭  视野好,江北,大石坝,东海岸,3室2厅,96.46平米,北,精装,高楼层(共32层),2010年建,板塔结合,"12,752元/平",123,38人关注,2个月以前发布
住家装修两房 朝东视野开阔 成熟小区交通购物便利,江北,南桥寺,承誉德天下城,2室1厅,57.01平米,东,简装,高楼层(共33层),2009年建,塔楼,"14,121元/平",80.5,25人关注,1个月以前发布
龙湖春森彼岸四期 正规精装两房 有钥匙随时看 满2年,江北,北滨路,龙湖春森彼岸四期,2室2厅,75.89平米,北 东北,精装,50层,2018年建,塔楼,"22,401元/平",170,42人关注,3个月以前发布
14年次新小区出门方便楼下9号线轻轨在建3号线观音桥站,江北,观音桥,聚丰纵横国际广场,2室1厅,72.12平米,南,精装,高楼层(共32层),2015年建,塔楼,"18,303元/平",132,16人关注,1个月以前发布
冉家坝正规两房，业主诚心出售，看房方便,江北,冉家坝,蜂巢,2室1厅,86.56平米,东,简装,高楼层(共27层),2007年建,板楼,"11,183元/平",96.8,1人关注,3天以前发布
土地性质：不是出让地，户型两室一厅，户型方正,江北,观音桥,金地花园,2室1厅,83.57平米,东南,精装,高楼层(共25层),,板楼,"12,804元/平",107,7人关注,5个月以前发布
北滨路精装3房2卫 保持9成新 完全拎包入住,江北,大石坝,东方明珠,3室2厅,50.37平米,西北,精装,中楼层(共19层),2008年建,板楼,"19,457元/平",98,26人关注,1个月以前发布
江北嘴 精装修高楼层朝南，看江,江北,五里店,融景城郦苑,4室1厅,174.68平米,南,精装,高楼层(共40层),2013年建,塔楼,"18,320元/平",320,12人关注,2个月以前发布
精装交付正规三房  诚心出售  看房方便,江北,观音桥,富力海洋,3室2厅,109平米,东南,精装,中楼层(共31层),2009年建,塔楼,"16,514元/平",180,3人关注,9天以前发布
成熟小区  一楼带前后花园 居家舒适,江北,花卉园,半山花园,4室2厅,167.17平米,南 北,简装,低楼层(共4层),,暂无数据,"8,943元/平",149.5,47人关注,1个月以前发布
龙湖源著三期精装修看中庭小两室户型，朝东，中高楼层,江北,石子山,龙湖源著北区,2室1厅,58平米,东,精装,39层,2015年建,塔楼,"20,173元/平",117,9人关注,15天以前发布
配套成熟，交通便利，户型方正，中高楼层,江北,龙头寺,鲁能星城十一街区,2室2厅,83.89平米,北,简装,中楼层(共32层),2008年建,塔楼,"15,259元/平",128,2人关注,12天以前发布
满五唯一省个税，霸道江景，出门就是公交车站，高楼层,江北,大石坝,东海岸焦点,1室1厅,38.93平米,东南,简装,高楼层(共31层),2010年建,塔楼,"12,073元/平",47,11人关注,2个月以前发布
正规两房视野好 业主自住装修 基装好,江北,海尔路,海语江山,2室1厅,76.26平米,西北,简装,高楼层(共32层),2013年建,塔楼,"14,031元/平",107,4人关注,1个月以前发布
近轻轨，配套齐全，离商圈也近。,江北,大石坝,东原D8公馆,1室0厅,35.07平米,南,简装,高楼层(共32层),2015年建,塔楼,"13,973元/平",49,13人关注,2个月以前发布
宝科鱼复天街正规三房，中间楼层！,江北,鱼嘴,宝科鱼复天街,3室2厅,104.71平米,东南,毛坯,低楼层(共29层),2019年建,塔楼,"9,073元/平",95,7人关注,5个月以前发布
五里精装修小两房 出行方便 拎包入住 价格可谈,江北,五里店,渝能明日城市,2室2厅,64.39平米,南,精装,中楼层(共30层),2012年建,塔楼,"15,841元/平",102,46人关注,1个月以前发布
装修两居室 楼层适中 小区出行方便 随时可看 有钥匙,江北,龙头寺,鲁能星城七街区,2室2厅,89.65平米,北,精装,中楼层(共31层),2007年建,板楼,"15,059元/平",135,6人关注,5个月以前发布
